Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,-8.95,-25.7,-90.0,top
C2,10uF,C_0402_1005Metric,-15.25,-17.7,90.0,top
C3,100nF,C_0402_1005Metric,-2.1,-1.7,180.0,top
C4,100nF,C_0402_1005Metric,-21.0,-1.85,90.0,top
D1,Red LED,LED_0603_1608Metric,-21.25,-11.1,90.0,top
D2,Blue LED,LED_0603_1608Metric,-21.25,-8.05,90.0,top
J3,USB_A,USB_A_PLUG_JING,-11.45,-30.4125,180.0,top
P1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,-4.84,-22.1,90.0,top
Q1,2N7002,SOT-23,-20.5,-31.75,-90.0,top
Q2,2N7002,SOT-23,-20.5,-27.9,-90.0,top
R1,10K,R_0402_1005Metric,-14.3,-17.7,90.0,top
R10,0R,R_0402_1005Metric,-9.9,-17.675,-90.0,top
R11,10K,R_0402_1005Metric,-8.95,-17.675,-90.0,top
R2,10K,R_0402_1005Metric,-13.35,-17.7,90.0,top
R3,10K,R_0402_1005Metric,-17.25,-27.4,-90.0,top
R4,10K,R_0402_1005Metric,-18.2,-27.4,-90.0,top
R5,5.1K,R_0402_1005Metric,-8.95,-23.85,-90.0,top
R6,5.1K,R_0402_1005Metric,-8.95,-19.9,-90.0,top
R7,220R,R_0402_1005Metric,-21.0,-3.7,90.0,top
R8,220R,R_0402_1005Metric,-21.0,-5.6,-90.0,top
R9,0R,R_0402_1005Metric,-10.85,-17.685,-90.0,top
SW1,RESET,Xunpu_TS-1088-AR02016,-19.55,-24.2,0.0,top
SW2,BOOT,Xunpu_TS-1088-AR02016,-19.55,-18.5,0.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,-13.05,-23.05,90.0,top
U2,ESP32-S2-MINI-2,ESP32S2MINI2N4,-11.8,-8.0,0.0,top
